KEY CODE TRANSLATION TABLE

Key code    = IBM System/2 key numbers for 101- and 102 key keyboards
              The SMC translates PS/2 Set 2 scan codes to IBM key
              numbers which are read by the Kernal over I2C

PS/2 Set 1  = Used in Windows klc keyboard layout files, which are
              used in keymap/klc_to_asm.py to build layout
              tables used by the Kernal.

PS/2 Set 2  = Default type of scan code sent by a PS/2 keyboard,
              and here read by the SMC firmware

USB HID     = Key codes used by a USB keyboard. Currently not used by the X16

+----------+-------------------+-------------------------+----------------------------------+
| Key code | PS/2 Set 1        | PS/2 Set 2              | USB HID  | Base Case (US layout) |
+----------+-------------------+-------------------------+----------------------------------+
| 01       | 29                | 0E                      | 07 35    | `                     | 
| 02       | 02                | 16                      | 07 1E    | 1                     | 
| 03       | 03                | 1E                      | 07 1F    | 2                     | 
| 04       | 04                | 26                      | 07 20    | 3                     | 
| 05       | 05                | 25                      | 07 21    | 4                     | 
| 06       | 06                | 2E                      | 07 22    | 5                     | 
| 07       | 07                | 36                      | 07 23    | 6                     | 
| 08       | 08                | 3D                      | 07 24    | 7                     | 
| 09       | 09                | 3E                      | 07 25    | 8                     | 
| 0A       | 0A                | 46                      | 07 26    | 9                     | 
| 0B       | 0B                | 45                      | 07 27    | 0                     | 
| 0C       | 0C                | 4E                      | 07 2D    | -                     | 
| 0D       | 0D                | 55                      | 07 2E    | =                     | 
| 0F       | 0E                | 66                      | 07 2A    | Backspace             | 
| 10       | 0F                | 0D                      | 07 2B    | Tab                   | 
| 11       | 10                | 15                      | 07 14    | q                     | 
| 12       | 11                | 1D                      | 07 1A    | w                     | 
| 13       | 12                | 24                      | 07 08    | e                     | 
| 14       | 13                | 2D                      | 07 15    | r                     | 
| 15       | 14                | 2C                      | 07 17    | t                     | 
| 16       | 15                | 35                      | 07 1C    | y                     | 
| 17       | 16                | 3C                      | 07 18    | u                     | 
| 18       | 17                | 43                      | 07 0C    | i                     | 
| 19       | 18                | 44                      | 07 12    | o                     | 
| 1A       | 19                | 4D                      | 07 13    | p                     | 
| 1B       | 1A                | 54                      | 07 2F    | [                     | 
| 1C       | 1B                | 5B                      | 07 30    | ]                     | 
| 1D       | 2B                | 5D                      | 07 31    | \                     | 
| 1E       | 3A                | 58                      | 07 39    | Caps Lock             | 
| 1F       | 1E                | 1C                      | 07 04    | a                     | 
| 20       | 1F                | 1B                      | 07 16    | s                     | 
| 21       | 20                | 23                      | 07 07    | d                     | 
| 22       | 21                | 2B                      | 07 09    | f                     | 
| 23       | 22                | 34                      | 07 0A    | g                     | 
| 24       | 23                | 33                      | 07 0B    | h                     | 
| 25       | 24                | 3B                      | 07 0D    | j                     | 
| 26       | 25                | 42                      | 07 0E    | k                     | 
| 27       | 26                | 4B                      | 07 0F    | l                     | 
| 28       | 27                | 4C                      | 07 33    | ;                     | 
| 29       | 28                | 52                      | 07 34    | '                     | 
| 2B       | 1C                | 5A                      | 07 28    | Enter                 | 
| 2C       | 2A                | 12                      | 07 E1    | Left Shift            | 
| 2D       | 56                | 61                      | 07 64    | N/A (102-key = "<")   |
| 2E       | 2C                | 1A                      | 07 1D    | z                     | 
| 2F       | 2D                | 22                      | 07 1B    | x                     | 
| 30       | 2E                | 21                      | 07 06    | c                     | 
| 31       | 2F                | 2A                      | 07 19    | v                     |
| 32       | 30                | 32                      | 07 05    | b                     | 
| 33       | 31                | 31                      | 07 11    | n                     | 
| 34       | 32                | 3A                      | 07 10    | m                     | 
| 35       | 33                | 41                      | 07 36    | ,                     | 
| 36       | 34                | 49                      | 07 37    | .                     | 
